Naive,32,0.916762,0.735171,1.339277
Naive,48,1.051341,0.885976,1.453285
Naive,64,0.904885,0.711235,1.265757
Naive,128,0.905427,0.711665,1.266307
Naive,238,0.936952,0.818868,1.307995
Naive,512,0.911503,0.795685,1.292034
Naive,1024,0.908467,0.718117,1.269927
Transpose,32,0.721379,0.680781,0.876285
Transpose,48,0.880160,0.811513,1.005699
Transpose,64,0.722841,0.679711,0.916416
Transpose,128,0.718584,0.679521,0.871178
Transpose,238,0.761090,0.710214,0.910176
Transpose,512,0.722885,0.683125,0.877199
Transpose,1024,0.723423,0.683748,0.880348
Shmem,32,0.752819,0.678395,0.900855
Shmem,48,0.884617,0.820022,1.013572
Shmem,64,0.741258,0.677660,0.867492
Shmem,128,0.742473,0.675391,0.874850
Shmem,238,0.774794,0.710217,0.902226
Shmem,512,0.743005,0.678389,0.871971
Shmem,1024,0.740168,0.675270,0.867699
Naive,32,0.798885,0.637969,1.212348
Naive,48,0.893865,0.698660,1.287778
Naive,64,0.768931,0.597374,1.091988
Naive,128,0.787322,0.611047,1.133093
Naive,238,0.791989,0.619425,1.149255
Naive,512,0.762224,0.595403,1.085192
Naive,1024,0.772976,0.596207,1.204004
Transpose,32,0.615496,0.584194,0.782921
Transpose,48,0.727990,0.657477,0.854982
Transpose,64,0.585183,0.561440,0.758392
Transpose,128,0.632069,0.563108,0.837222
Transpose,238,0.657807,0.582862,0.824803
Transpose,512,0.624142,0.564155,0.762494
Transpose,1024,0.589311,0.566879,0.766062
Shmem,32,0.638208,0.570176,0.766390
Shmem,48,0.715424,0.665412,0.860610
Shmem,64,0.586226,0.560473,0.804276
Shmem,128,0.584198,0.562589,0.759551
Shmem,238,0.604157,0.581352,0.785032
Shmem,512,0.575367,0.554254,0.754262
Shmem,1024,0.582615,0.560742,0.756519
All_GPU,32,0.346696,0.316892,0.362236
All_GPU,48,0.436726,0.409848,0.425664
All_GPU,64,0.334328,0.307840,0.309447
All_GPU,128,0.334547,0.309154,0.309566
All_GPU,238,0.357608,0.332462,0.332891
All_GPU,512,0.332973,0.309156,0.309804
All_GPU,1024,0.336364,0.310224,0.313554
All_GPU_Delta_Reduction,32,0.354300,0.326545,0.366784
All_GPU_Delta_Reduction,48,0.449966,0.420723,0.473670
All_GPU_Delta_Reduction,64,0.340501,0.316666,0.316934
All_GPU_Delta_Reduction,128,0.341391,0.315478,0.316487
All_GPU_Delta_Reduction,238,0.362341,0.338497,0.338741
All_GPU_Delta_Reduction,512,0.339697,0.315834,0.316095
All_GPU_Delta_Reduction,1024,0.342108,0.318398,0.318625
All_GPU_Delta_Reduction,1024,0.347058,0.316103,0.371742
Naive,1024,0.938641,0.769850,1.291012
Transpose,1024,0.586598,0.563382,0.787414
Shmem,1024,0.611540,0.552243,0.748086
All_GPU,1024,0.336505,0.310801,0.313587
All_GPU_Delta_Reduction,1024,0.342774,0.318887,0.319107
Naive,1024,0.924380,0.779728,1.328317
Transpose,1024,0.608414,0.542969,0.795827
Shmem,1024,0.587676,0.565750,0.759612
All_GPU,1024,0.336386,0.310760,0.313495
All_GPU_Delta_Reduction,1024,0.342597,0.318940,0.319140
